chord_name,key1,key2,key3,key4
A,A1,C#1,E1,
B,B1,D#1,F#2,
C,C1,E1,G2,
D,D1,F#2,A2,
E,E1,G#2,B2,
F,F1,A1,C1,
G,G1,B1,D1,
Am,A1,C1,E1,
Bm,B1,D1,F#2,
Cm,C1,D#1,G2,
Dm,D1,F2,A2,
Em,E1,G2,B2,
Fm,F1,G#1,C1,
Gm,G1,A#1,D1,
A7,A1,C#1,E1,G#2
B7,B1,D#1,F#2,A#2
C7,C1,E1,G2,B2
D7,D1,F#2,A2,C#2
E7,E1,G#2,B2,D#2
F7,F1,A1,C1,E1
G7,G1,B1,D1,F#2
Am7,A1,C1,E1,G2
Bm7,B1,D1,F#2,A2
Cm7,C1,D#1,G2,A#2
Dm7,D1,F2,A2,C2
Em7,E1,G2,B2,D2
Fm7,F1,G#1,C1,D#1
Gm7,G1,A#1,D1,F2
Adom7,A1,C#1,E1,G2
Bdom7,B1,D#1,F#2,A2
Cdom7,C1,E1,G2,A#2
Ddom7,D1,F#2,A2,C2
Edom7,E1,G#2,B2,D2
Fdom7,F1,A1,C1,D#1
Gdom7,G1,B1,D1,F2
Ab,G#1,C1,D#1,
A#,A#1,D1,F2,
Bb,A#1,D1,F2,
C#,C#1,E1,G#2,
Db,C#1,E1,G#2,
D#,D#1,G2,A#2,
Eb,D#1,G2,A#2,
F#,F#1,A#1,C#1,
Gb,F#1,A#1,C#1,
G#,G#1,C1,D#1,
Abm,G#1,B1,D#1,
A#m,A#1,C#1,F2,
Bbm,A#1,C#1,F2,
C#m,C#1,E1,G#2,
Dbm,C#1,E1,G#2,
D#m,D#1,F#2,A#2,
Ebm,D#1,F#2,A#2,
F#m,F#1,A1,C#1,
Gbm,F#1,A1,C#1,
G#m,G#1,B1,D#1,
